Site No.,State,District,Location,Pin code,Lat,Long,Address
1240,Gujarat,AMRELI,Amreli,365601,23.711265,72.97537,"Taluka : Amreli ,AmreliAmreli365601Gujarat"
1241,Gujarat,BHAVNAGAR,Bhavnagar,364260,27.271133,80.813087,"Village - Sar, Taluka - Shihor,BhavnagarBhavnagar364260Gujarat"
1242,Gujarat,BHAVNAGAR,Bhavnagar,364145,26.001733,79.16144,"Village - Sakdasar No. 1,BhavnagarBhavnagar364145Gujarat"
1243,Gujarat,KACHCHH,Kutch,370145,20.808865,79.65311,"Village : Gagodar, Taluka: Rapar,KutchKutch370145Gujarat"
1244,Gujarat,KACHCHH,Kutch,365601,9.477811,77.786063,"Taluka. Mandvi,KutchKutch365601Gujarat"
1245,Gujarat,KACHCHH,Kutch,370201,30.644086,76.47207,"Village – Kandla, Taluka – Gandhidham,KutchKutch370201Gujarat"
1246,Gujarat,KACHCHH,Kutch,370001,27.000733,75.239467,"Village : Padhdhar Taluka : Bhuj,KutchKutch370001Gujarat"
1247,Gujarat,KACHCHH,Kutch,370140,23.44476,73.54664,"Taluka - Bhachau,KutchKutch370140Gujarat"
1248,Gujarat,KHEDA,Kheda,387380,27.168151,78.39388501,Taluka:VasoKhedaKheda387380Gujarat
1249,Gujarat,SURENDRA NAGAR,Surendranagar,382750,9.380769,77.911515,"Taluka : Dasada,SurendranagarSurendranagar382750Gujarat"
1250,Gujarat,MEHSANA,Mehsana,384170,16.713722,75.63434,AT & POST : SUNAKMehsanaMehsana384170Gujarat
1251,Gujarat,ANAND,Anand,388640,22.669101,70.377898,"Taluka - Khambhat,AnandAnand388640Gujarat"
1252,Gujarat,KACHCHH,Kutch,370627,19.832059,79.37956,"Taluka – Lakhpat,KutchKutch370627Gujarat"
1253,Gujarat,AHMEDABAD,Ahmedabad,382150,12.86982,75.853275,"Taluka: Viramgam,AhmedabadAhmedabad382150Gujarat"
1254,Gujarat,BHARUCH,Bharuch,392150,30.579902,76.4046,"Taluka - Jambusar,BharuchBharuch392150Gujarat"
1255,Gujarat,SURENDRA NAGAR,Surendranagar,363520,17.211751,77.584226,"Village : Nani Morsal,Taluka : Chotila,SurendranagarSurendranagar363520Gujarat"
1256,Gujarat,AMRELI,Amreli,365601,13.223146,79.595961,"Village–Amreli, Taluka – Amreli,AmreliAmreli365601Gujarat"
1257,Gujarat,RAJKOT,Rajkot,360050,24.389838,80.221306,"Village – Shivrajpur, Taluka – Jasdan,RajkotRajkot360050Gujarat"
1258,Gujarat,JAMNAGAR,Jamnagar,361012,22.560837,71.403942,"Taluka – Jamnagar rural,JamnagarJamnagar361012Gujarat"
1259,Gujarat,VADODARA,Vadodara,390024,24.679283,81.567773,"Village.Vyara, Taluka. Waghodia,VadodaraVadodara390024Gujarat"
1260,Gujarat,PATAN,Patan,384265,26.443098,83.639918,"Taluka - Patan,PatanPatan384265Gujarat"
1261,Gujarat,GIR SOMNATH,Gir Somnath,362275,22.784761,73.391552,"Village - Sutrapada, Taluka - Sutrapada,Gir SomnathGir Somnath362275Gujarat"
1262,Gujarat,BANAS KANTHA,Banaskantha,385421,24.890996,83.058135,Taluka- VadgamBanaskanthaBanaskantha385421Gujarat
1263,Gujarat,BANAS KANTHA,Banaskantha,361010,23.99773,83.041076,"Village - Sisrana, Taluka - Vadgam,BanaskanthaBanaskantha361010Gujarat"
1264,Gujarat,BHAVNAGAR,Bhavnagar,364150,25.307777,82.94277778,"Taluka – Talaja,Bhavnagar,Bhavnagar364150Gujarat"
1265,Gujarat,ARVALLI,Aravalli,383245,26.686044,88.218276,"Village: Nandoj,Taluka: Bhiloda,AravalliAravalli383245Gujarat"
1266,Gujarat,NAVSARI,Navsari,396321,16.591225,82.00947,"Taluka.Gandevi,NavsariNavsari396321Gujarat"
1267,Gujarat,MEHSANA,Mehsana,384002,15.912177,79.811917,"Village - Baliyasan,Taluka - Mehsana,MehsanaMehsana384002Gujarat"
1268,Gujarat,ARVALLI,Aravalli,383276,18.791243,74.9270720406956,"Village: Khambhisar,Taluka: Modasa,AravalliAravalli383276Gujarat"
1269,Gujarat,BANAS KANTHA,Banaskantha,385560,22.293298,68.965499,"Vill: Ratanpura (Un),Taluka:Kankrej,BanaskanthaBanaskantha385560Gujarat"
1270,Gujarat,AHMEDABAD,Ahmedabad,382265,29.394893,76.89875,"Village: Varna,Taluka: Dholka,AhmedabadAhmedabad382265Gujarat"
1271,Gujarat,BOTAD,Botad,364650,19.136292,73.96746,"Taluka. Gadhada,BotadBotad364650Gujarat"
1272,Gujarat,SABAR KANTHA,Sabarkantha,383030,30.936274,75.866051,"Village - Rupal,Taluka - Himatnagar,SabarkanthaSabarkantha383030Gujarat"
1273,Gujarat,BANAS KANTHA,Banaskantha,385410,17.630017,78.099964,"Village- Magarwada, Taluka- Vadgam ,BanaskanthaBanaskantha385410Gujarat"
1274,Gujarat,PATAN,Patan,384230,27.845938,79.879891,"Taluka - Sankeshwar,PatanPatan384230Gujarat"
